Name on IMDb,Birth Name 
Alan Howard,Alan Mackenzie Howard
Bernard Hill, Not Found
Brad Dourif,Bradford Claude Dourif
David Wenham, Not Found
Karl Urban,Karl-Heinz Urban
Dan Hennah, Not Found
Michael Horton, Not Found
Jabez Olssen, Not Found
John Noble, Not Found
Paul Norell, Not Found
Thomas Robins, Not Found
Jamie Selkirk, Not Found
Wojciech Kilar, Not Found
Toshio Suzuki, Not Found
Keith Richards, Not Found
Tina Turner,Anna Mae Bullock
Tim Blake Nelson, Not Found
Chris Thomas King,Chris Thomas
Charles Durning,Charles Edward Durning
Del Pentecost, Not Found
J.R. Horne,Jim Horne
Brian Reddy, Not Found
Wayne Duvall, Not Found
Ed Gale, Not Found
Ray McKinnon,Raymond Wilkes McKinnon
Daniel von Bargen, Not Found
Mia Tate, Not Found
Musetta Vander,Musetta van der Merwe
Christy Taylor, Not Found
Millford Fortenberry, Not Found
Frank Collison, Not Found
Quinn Gasaway, Not Found
Lee Weaver, Not Found
John Cameron,John Cameron
Ellen Chenoweth, Not Found
Tod Browning,Charles Albert Browning
Irving Thalberg,Irving Grant Thalberg
Merritt B. Gerstad, Not Found
Basil Wrangell, Not Found
Al Boasberg,Albert Isaac Boasberg
Willis Goldbeck, Not Found
Leon Gordon,Leon Gordon Bennett
Edgar Allan Woolf, Not Found
Leila Hyams, Not Found
Olga Baclanova,Olga Vladimirovna Baklanova
Roscoe Ates,Roscoe Blevel Ates
Henry Victor, Not Found
Harry Earles,Kurt Schneider
Daisy Earles,Hilda E. Schneider
Rose Dione, Not Found
Daisy Hilton,Daisy Skinner
Violet Hilton, Not Found
Josephine Joseph, Not Found
Koo Koo,Minnie Woolsey
Prince Randian, Not Found
Johnny Eck,John Eckhardt Jr.
Peter Robinson, Not Found
Harold Ramis,Harold Allen Ramis
Trevor Albert, Not Found
Danny Rubin, Not Found
John Bailey,John Ira Bailey
George Fenton,George Richard Ian Howe
Howard Feuer, Not Found
Pembroke J. Herring,Pembroke Jones Herring
Bill Murray,William James Murray
Andie MacDowell,Rosalie Anderson MacDowell
Chris Elliott,Christopher Nash Elliott
Brian Doyle-Murray,Brian Murray
Marita Geraghty, Not Found
Angela Paton, Not Found
Rick Ducommun,Richard Dennis Ducommun
Rick Overton,Richard Overton
Robin Duke, Not Found
Willie Garson,William Garson Paszamant
Bram Stoker,Abraham Stoker
Hamilton Deane,Hamilton Knudson Dean Roe
John L. Balderston,John Lloyd Balderston
Bela Lugosi,Béla Ferenc Dezsõ Blaskó
Helen Chandler,Helen Louise Chandler
Dwight Frye,Dwight Iliff Fry
Edward Van Sloan,Edward Van Sloun
Philip Glass,Philip Morris Glass
Milton Carruth,Jesse Milton Carruth
Maurice Pivar, Not Found
Carl Laemmle Jr.,Julius Laemmle
Anthony Dod Mantle, Not Found
Maggie Gyllenhaal,Margaret Ruth Gyllenhaal
Mary McDonnell,Mary Eileen McDonnell
James Duval,James Edward Duval
Steven Poster,Steven Barry Poster
Joseph Middleton, Not Found
Michelle Morris, Not Found
Michelle Yeoh,Yeoh Chu-Kheng
Robby Müller,Robert Müller
Eugene Gearty, Not Found
Stellan Skarsgård,John Stellan Skarsgård
Jonathan Hackett, Not Found
Udo Kier,Udo Kierspe
François Truffaut,François Roland Truffaut
Jean Constantin, Not Found
Marcel Moussy, Not Found
Jean-Pierre Léaud, Not Found
Claire Maurier,Odette Michelle Suzanne Agramon
